x=-0.1651001 , y=10.817947 , z=4.93161
x=0.028717041 , y=10.619354 , z=0.5814514
x=3.1465607 , y=13.234695 , z=7.0899353
x=1.4356995 , y=11.454437 , z=2.3401794
x=-2.457428 , y=5.414963 , z=-8.059021
x=-1.1844482 , y=5.1182404 , z=-8.099701
x=1.5553284 , y=9.729218 , z=-4.553543
x=1.8807526 , y=9.870392 , z=-6.7788696
x=-0.13400269 , y=12.026321 , z=4.1491547
x=-1.4859467 , y=11.626724 , z=11.038086
x=1.7084808 , y=13.730011 , z=4.610962
x=2.8091736 , y=9.461227 , z=-11.229523
x=-0.7465668 , y=2.4095764 , z=-16.969894
x=0.15553284 , y=3.4839478 , z=1.0480499
x=-0.088531494 , y=11.60997 , z=0.5742798
x=-0.5359955 , y=14.835495 , z=-4.771286
x=0.8757782 , y=11.93779 , z=10.284348
x=3.2231293 , y=10.200607 , z=14.756531
x=1.689331 , y=9.717255 , z=-5.620743
x=-2.096115 , y=5.927017 , z=-20.329422
x=-2.2253265 , y=4.936386 , z=-6.7453613
x=1.9262238 , y=9.224335 , z=6.242874
x=4.1563263 , y=10.987839 , z=-3.3308105
x=0.24645996 , y=12.734604 , z=0.5383911
x=-2.7397766 , y=10.877777 , z=16.141983
x=-0.6388855 , y=10.863419 , z=3.5988007
x=1.2131653 , y=6.845871 , z=-18.539597
x=0.0023956299 , y=5.9126587 , z=-14.620148
x=-0.5886383 , y=7.7814636 , z=3.883545
x=-0.110076904 , y=13.976471 , z=7.7407837
x=-1.134201 , y=12.2608185 , z=-4.0295105
x=-0.4019928 , y=10.363312 , z=4.0414734
x=2.904892 , y=9.942184 , z=10.798813
x=2.560318 , y=10.164719 , z=-2.7014923
x=-1.3878326 , y=7.582855 , z=-14.615356
x=-2.5387878 , y=6.752548 , z=-3.8045807
x=-0.7513428 , y=7.1114655 , z=4.273575
x=1.976471 , y=15.517456 , z=9.276978
x=1.8161469 , y=10.289139 , z=-6.1280212
x=2.8115692 , y=10.289139 , z=4.9794617
x=0.66041565 , y=7.0707855 , z=2.0362854
x=-1.0552368 , y=10.588242 , z=1.557724
x=-0.7728882 , y=10.822739 , z=-9.276978
x=0.2871399 , y=7.5708923 , z=-7.2550354
x=0.9690857 , y=9.410965 , z=5.481964
x=1.9980011 , y=8.8701935 , z=2.1128693
x=3.151352 , y=16.02713 , z=3.5677032
x=1.4739838 , y=7.4990997 , z=-4.307083
x=0.8374939 , y=9.363113 , z=4.400406
x=-0.098098755 , y=5.5369873 , z=-5.8983154
x=-1.0887299 , y=12.129211 , z=-1.6366882
x=0.16989136 , y=10.021149 , z=-4.405182
x=-1.3710938 , y=7.858032 , z=-0.7298126
x=-0.95474243 , y=10.126419 , z=4.400406
x=-0.4857483 , y=8.511276 , z=-2.7708893
x=1.9669037 , y=13.261017 , z=2.9718933
x=1.2299042 , y=9.690933 , z=-1.9932251
x=0.69869995 , y=7.932205 , z=1.6175537
x=1.6319122 , y=9.944565 , z=-0.3397827
x=0.6891327 , y=9.174088 , z=-0.33738708
x=1.3663025 , y=11.162521 , z=0.88534546
x=1.1222382 , y=8.461029 , z=-5.4891357
x=-0.21774292 , y=10.025925 , z=0.21296692
x=-0.07417297 , y=9.413361 , z=-1.7132568
x=-0.71066284 , y=8.997009 , z=-2.0410767
x=1.3663025 , y=10.920837 , z=-1.6055908
x=2.8426666 , y=13.399811 , z=4.3453674
x=5.6159515 , y=10.770096 , z=-1.6797638
x=3.3954163 , y=6.477371 , z=-9.619141
