x,y,z
-3.079 , 9.204 , 4.806
-3.077 , 9.347 , 4.818
-3.1 , 9.375 , 4.866
-3.175 , 9.264 , 4.818
-3.154 , 9.141 , 4.77
-3.239 , 9.003 , 4.769
-3.192 , 8.922 , 4.972
-3.182 , 8.903 , 5.471
-3.107 , 8.764 , 5.677
-3.054 , 8.553 , 5.669
-2.948 , 8.306 , 5.758
-2.805 , 8.165 , 5.777
-2.664 , 8.178 , 5.976
-2.585 , 8.288 , 6.104
-2.555 , 8.342 , 6.102
-2.473 , 8.223 , 6.093
-2.414 , 8.178 , 6.12
-2.311 , 8.324 , 6.183
-2.068 , 8.46 , 6.379
-1.771 , 8.553 , 6.316
-1.534 , 8.505 , 6.081
-1.315 , 8.411 , 5.952
-1.231 , 8.291 , 5.792
-1.342 , 8.253 , 5.855
-1.397 , 8.178 , 6.064
-1.53 , 8.112 , 6.138
-1.585 , 7.982 , 6.372
-1.577 , 7.911 , 6.512
-1.529 , 7.804 , 6.418
-1.23 , 7.611 , 6.457
-1.114 , 7.549 , 6.329
-0.911 , 7.518 , 6.404
-0.865 , 7.464 , 6.636
-0.835 , 7.439 , 6.755
-0.809 , 7.467 , 6.859
-0.733 , 7.413 , 6.96
-0.616 , 7.466 , 6.946
-0.542 , 7.478 , 6.748
-0.556 , 7.573 , 6.616
-0.366 , 7.708 , 6.573
-0.598 , 7.848 , 6.224
-0.501 , 7.873 , 6.4
-0.745 , 7.925 , 6.209
-0.94 , 7.927 , 6.367
-0.932 , 7.992 , 6.554
-0.902 , 8.031 , 6.467
-0.714 , 7.915 , 6.343
-0.255 , 7.799 , 5.954
0.125 , 7.75 , 5.686
0.243 , 7.672 , 5.557
0.418 , 7.745 , 6.175
0.194 , 7.909 , 6.385
-0.029 , 7.783 , 7.061
-0.196 , 7.625 , 6.924
-0.305 , 7.398 , 6.525
-0.591 , 7.097 , 6.476
-0.461 , 7.148 , 6.767
-0.65 , 7.479 , 6.9
-0.63 , 7.646 , 7.282
-0.527 , 7.646 , 6.818
-0.351 , 7.641 , 6.653
-0.259 , 7.733 , 6.293
0.129 , 7.951 , 6.381
0.201 , 8.174 , 6.112
0.521 , 8.312 , 6.123
0.713 , 8.528 , 6.001
0.731 , 8.605 , 6.09
0.657 , 8.612 , 6.042
0.743 , 8.42 , 6.157
0.495 , 8.193 , 5.886
0.493 , 8.087 , 5.977
0.364 , 8.086 , 5.923
0.37 , 8.014 , 6.2
0.201 , 7.746 , 5.997
0.018 , 7.449 , 6.319
-0.272 , 7.261 , 6.539
-0.521 , 7.325 , 7.008
-0.577 , 7.478 , 7.573
-0.52 , 7.765 , 7.351
-0.315 , 7.909 , 6.891
0.002 , 8.188 , 6.206
0.33 , 8.51 , 5.501
0.592 , 8.875 , 5.286
0.82 , 9.107 , 5.113
0.735 , 8.967 , 4.976
0.81 , 8.759 , 5.191
0.685 , 8.628 , 5.51
0.6 , 8.468 , 5.942
0.262 , 8.089 , 6.178
0.074 , 7.715 , 6.369
-0.27 , 7.695 , 6.279
-0.382 , 7.546 , 6.628
-0.607 , 7.313 , 6.39
-0.795 , 6.867 , 6.474
-0.956 , 6.523 , 6.705
-1.035 , 6.307 , 7.093
