x=-0.541275 , y=9.605301 , z=-1.1933594
x=-0.37054443 , y=9.579727 , z=-0.97169495
x=-0.3688202 , y=9.48793 , z=-0.95018005
x=-0.46298218 , y=9.492065 , z=-0.91915894
x=-0.5428467 , y=9.487717 , z=-0.9637146
x=-0.39978027 , y=9.547455 , z=-0.92800903
x=-0.13519287 , y=9.637573 , z=-0.9002228
x=0.06542969 , y=9.579697 , z=-1.2430878
x=0.0060424805 , y=9.656021 , z=-1.1595306
x=-0.33018494 , y=9.558304 , z=-1.2429657
x=-0.55714417 , y=9.522888 , z=-1.2072449
x=-0.44296265 , y=9.563675 , z=-1.206253
x=-0.22061157 , y=9.583237 , z=-1.2537384
x=-0.08276367 , y=9.615143 , z=-1.2896423
x=0.022125244 , y=9.614563 , z=-1.3108368
x=-0.008117676 , y=9.5915985 , z=-1.2771759
x=-0.2281189 , y=9.496674 , z=-1.143158
x=-0.42486572 , y=9.411438 , z=-1.014679
x=-0.35966492 , y=9.393814 , z=-0.9753876
x=-0.19798279 , y=9.443939 , z=-1.0317688
x=-0.13876343 , y=9.531418 , z=-1.1178284
x=-0.22317505 , y=9.652222 , z=-1.2448883
x=-0.37329102 , y=9.710297 , z=-1.383255
x=-0.4542389 , y=9.682602 , z=-1.3056793
x=-0.34413147 , y=9.576141 , z=-1.1637115
x=-0.1315155 , y=9.515961 , z=-1.1075287
x=-0.1212616 , y=9.545334 , z=-1.0514526
x=-0.34388733 , y=9.5546875 , z=-1.1155243
x=-0.5357361 , y=9.576355 , z=-1.221405
x=-0.52874756 , y=9.559509 , z=-1.1957245
x=-0.44996643 , y=9.482468 , z=-1.1092377
x=-0.3383026 , y=9.452545 , z=-0.9560547
x=-0.20275879 , y=9.46315 , z=-0.8065033
x=-0.10430908 , y=9.530579 , z=-0.9009247
x=-0.16247559 , y=9.635468 , z=-1.0276337
x=-0.27207947 , y=9.6671295 , z=-1.2490997
x=-0.34776306 , y=9.637863 , z=-1.2853088
x=-0.32510376 , y=9.566772 , z=-1.243988
x=-0.29969788 , y=9.573288 , z=-1.041336
x=-0.4463501 , y=9.537888 , z=-0.95773315
x=-0.5065155 , y=9.510437 , z=-0.96240234
x=-0.3721161 , y=9.517471 , z=-1.0627594
x=-0.26985168 , y=9.55452 , z=-1.1572723
x=-0.32164 , y=9.535049 , z=-1.1476593
x=-0.40957642 , y=9.441437 , z=-1.1112976
x=-0.45048523 , y=9.416748 , z=-0.99964905
x=-0.5139618 , y=9.400558 , z=-1.033844
x=-0.5340576 , y=9.458862 , z=-1.184845
x=-0.47491455 , y=9.631012 , z=-1.2879486
x=-0.42546082 , y=9.774872 , z=-1.4179688
x=-0.38684082 , y=9.809433 , z=-1.3658295
x=-0.31246948 , y=9.697891 , z=-1.284195
x=-0.271286 , y=9.579681 , z=-0.9937134
x=-0.32891846 , y=9.444519 , z=-0.7877655
x=-0.4660492 , y=9.32135 , z=-0.8036499
x=-0.4827881 , y=9.392487 , z=-0.78974915
x=-0.3658142 , y=9.489334 , z=-1.0159912
x=-0.28730774 , y=9.659393 , z=-1.1285248
x=-0.32414246 , y=9.750244 , z=-1.2252502
x=-0.41670227 , y=9.7100525 , z=-1.4397583
x=-0.4607849 , y=9.753342 , z=-1.2188568
x=-0.4836731 , y=9.651596 , z=-1.2208557
x=-0.413208 , y=9.53978 , z=-1.1792908
x=-0.2501831 , y=9.549377 , z=-1.0804596
x=-0.15655518 , y=9.509262 , z=-1.050293
x=-0.18522644 , y=9.497635 , z=-0.99002075
x=-0.28404236 , y=9.469757 , z=-0.9049835
x=-0.3184967 , y=9.438004 , z=-0.8872833
x=-0.25117493 , y=9.477905 , z=-0.8734131
x=-0.15272522 , y=9.563889 , z=-1.040451
x=-0.13053894 , y=9.674393 , z=-1.1914673
x=-0.18093872 , y=9.734299 , z=-1.2961426
x=-0.18907166 , y=9.722778 , z=-1.3357697
x=-0.1482544 , y=9.658524 , z=-1.233841
x=-0.14039612 , y=9.542664 , z=-1.0905609
x=-0.2434082 , y=9.448257 , z=-0.96655273
x=-0.40870667 , y=9.398407 , z=-0.93444824
x=-0.52612305 , y=9.382675 , z=-0.9674835
x=-0.4850769 , y=9.428848 , z=-1.0054169
x=-0.3150177 , y=9.477631 , z=-1.0701294
x=-0.13989258 , y=9.548676 , z=-1.1004791
x=-0.07154846 , y=9.583908 , z=-1.1078033
x=-0.18669128 , y=9.596146 , z=-1.1695709
x=-0.25834656 , y=9.656555 , z=-1.2086945
x=-0.24499512 , y=9.675613 , z=-1.2297516
x=-0.09436035 , y=9.650085 , z=-1.1759186
x=-0.029022217 , y=9.562836 , z=-1.076889
x=-0.04335022 , y=9.455872 , z=-0.97898865
x=-0.15576172 , y=9.386276 , z=-0.87680054
x=-0.26965332 , y=9.364899 , z=-0.8579712
x=-0.19233704 , y=9.391296 , z=-0.8552704
x=0.019088745 , y=9.473999 , z=-0.9316406
x=0.03742981 , y=9.5690155 , z=-1.1228638
x=-0.1315155 , y=9.6214905 , z=-1.2829132
x=-0.36198425 , y=9.579697 , z=-1.3537903
x=-0.39837646 , y=9.553574 , z=-1.1921234
x=-0.18670654 , y=9.494141 , z=-1.0328522
x=0.11703491 , y=9.537186 , z=-0.9621277
x=0.31106567 , y=9.729477 , z=-1.0132904
x=0.19815063 , y=10.126953 , z=-0.3904419
x=-0.14173889 , y=8.952759 , z=-3.7371368
x=0.025054932 , y=9.739639 , z=-1.4260559
x=0.08395386 , y=10.417038 , z=1.1618652
x=-0.3643036 , y=9.514542 , z=-0.7289429
x=-0.19639587 , y=9.572266 , z=-1.750351
x=0.7331848 , y=10.384171 , z=0.30969238
x=1.2863617 , y=9.214737 , z=-2.3832703
x=0.85194397 , y=8.717545 , z=-3.439331
x=-0.66978455 , y=9.313843 , z=-0.44776917
x=-1.5981903 , y=9.653961 , z=0.4895935
x=-0.93811035 , y=9.719131 , z=-1.514389
