bump:10.6,pothole:4.0,basespeed:5.0,lowerspeed:5.0,scaling:5.0,,,,,
x,y,z,latitude,longitude,bearing,accuracy,light,timestamp,
-1.2977514,-2.3969352,13.589006,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963762,0
-1.7059582,4.325486,9.179053,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963784,0
-1.8687632,1.6564041,9.23007,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963822,0
-0.38229415,0.27327403,10.494149,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963845,0
-2.141141,0.49401522,8.037049,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963883,0
-1.8076876,2.8202472,8.934716,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963924,0
-1.0590667,-1.3351862,10.236275,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963945,0
-2.6194909,-0.9817769,10.648198,23.55107063,87.29705027,112.982734680176,4.5509996,0,12963984,0
-1.049346,2.0262449,8.585637,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964005,0
-1.1305779,4.679463,7.1985145,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964044,0
-2.264071,2.456633,8.608593,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964084,0
-0.7690033,-2.097054,10.994036,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964125,0
-0.3437832,-0.39928043,9.256221,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964165,0
-1.2441846,1.5937502,9.59397,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964205,0
-1.271775,6.8642306,6.158402,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964245,0
-2.0659206,-2.9577837,10.8982115,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964286,0
-0.96131563,2.8709059,7.6297894,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964327,0
-1.8105447,-2.2686446,12.261349,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964367,0
-3.5503938,-2.9510393,11.674325,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964407,0
-0.5652329,1.996722,9.124401,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964450,0
-2.2750175,-5.305844,12.052513,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964487,0
-1.668371,1.289613,7.42164,23.55107063,87.29705027,112.982734680176,4.5509996,0,12964527,0
-2.3800924,2.9479568,10.446071,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964569,0
-2.2960446,-8.499192,14.905739,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964609,0
-1.9140971,-2.6250665,10.249224,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964650,0
-0.7999775,-3.1620462,10.807872,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964690,0
-0.15345506,4.568555,6.344561,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964730,0
-0.52538055,4.3817577,7.789166,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964771,0
-1.648015,1.3843632,9.444828,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964812,0
-2.0477653,4.808657,5.735654,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964851,0
-0.55030537,-0.0882274,8.895572,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964872,0
-0.8036536,-0.19369377,10.904713,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964912,0
-1.3301133,0.8866941,10.278157,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964951,0
-2.8715925,-2.464414,11.125778,23.55104288,87.29710102,120.673156738281,4.5509996,0,12964993,0
-2.0222952,3.177491,6.869647,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965034,0
-1.2859205,-4.382948,11.917237,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965071,0
-0.24290581,3.5908885,7.625794,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965092,0
-1.8187753,-2.6746886,11.297628,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965113,0
-1.6971743,-3.7067034,11.552039,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965153,0
-1.9522353,-1.4193689,11.269101,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965194,0
-1.3456982,0.7833923,8.881814,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965233,0
-1.8487778,-3.0798595,12.154431,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965273,0
-2.2623713,4.2053947,6.471541,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965294,0
-1.7238892,4.8107805,7.3040175,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965334,0
-3.5547717,1.2940739,9.064535,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965374,0
-1.3053285,2.6454186,8.15895,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965414,0
-2.745741,-2.59494,12.658407,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965455,0
-1.5380766,-0.87447137,11.097014,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965495,0
-1.0303248,0.5375264,9.134835,23.55104288,87.29710102,120.673156738281,4.5509996,0,12965535,0
-1.1313815,-0.37718254,9.946249,23.55101039,87.29716533,118.723205566406,4.5509996,0,12965575,0
-0.049381256,1.4924549,8.285905,23.55101039,87.29716533,118.723205566406,4.5509996,0,12965617,0
-1.8389229,1.0103925,8.897799,23.55101039,87.29716533,118.723205566406,4.5509996,0,12965656,0
-1.8516349,1.3362548,9.321254,23.55101039,87.29716533,118.723205566406,4.5509996,0,12965677,0
