x,y,z
-0.423 , 8.333 , 5.453
-0.428 , 8.29 , 5.571
-0.393 , 8.373 , 5.584
-0.477 , 8.431 , 5.611
-0.471 , 8.458 , 5.58
-0.476 , 8.388 , 5.576
-0.424 , 8.34 , 5.545
-0.352 , 8.427 , 5.399
-0.386 , 8.466 , 5.423
-0.349 , 8.393 , 5.474
-0.423 , 8.323 , 5.417
-0.404 , 8.437 , 5.57
-0.363 , 8.412 , 5.521
-0.439 , 8.37 , 5.644
-0.405 , 8.375 , 5.655
-0.435 , 8.317 , 5.607
-0.355 , 8.315 , 5.683
-0.419 , 8.359 , 5.643
-0.381 , 8.346 , 5.672
-0.406 , 8.345 , 5.675
-0.386 , 8.376 , 5.751
-0.372 , 8.353 , 5.72
-0.343 , 8.29 , 5.599
-0.322 , 8.39 , 5.558
-0.321 , 8.389 , 5.541
-0.326 , 8.451 , 5.613
-0.319 , 8.491 , 5.563
-0.399 , 8.524 , 5.401
-0.362 , 8.508 , 5.485
-0.392 , 8.479 , 5.498
-0.382 , 8.547 , 5.455
-0.357 , 8.581 , 5.428
-0.287 , 8.481 , 5.398
-0.343 , 8.442 , 5.444
-0.34 , 8.433 , 5.423
-0.315 , 8.467 , 5.507
-0.36 , 8.479 , 5.563
-0.397 , 8.375 , 5.608
-0.464 , 8.37 , 5.613
-0.495 , 8.317 , 5.628
-0.466 , 8.339 , 5.663
-0.513 , 8.326 , 5.6
-0.498 , 8.336 , 5.613
-0.531 , 8.311 , 5.547
-0.522 , 8.34 , 5.555
-0.57 , 8.35 , 5.558
-0.527 , 8.37 , 5.547
-0.428 , 8.395 , 5.497
-0.395 , 8.36 , 5.477
-0.441 , 8.377 , 5.491
-0.41 , 8.435 , 5.493
-0.35 , 8.48 , 5.527
-0.418 , 8.435 , 5.592
-0.41 , 8.406 , 5.455
-0.315 , 8.346 , 5.637
-0.349 , 8.385 , 5.653
-0.342 , 8.324 , 5.681
-0.287 , 8.31 , 5.763
-0.305 , 8.284 , 5.624
-0.31 , 8.206 , 5.677
-0.384 , 8.154 , 5.768
-0.387 , 8.215 , 5.735
-0.397 , 8.265 , 5.854
-0.478 , 8.12 , 5.808
-0.407 , 8.151 , 5.784
-0.419 , 8.075 , 5.704
-0.41 , 8.166 , 5.768
-0.322 , 8.197 , 5.784
-0.392 , 8.154 , 5.671
-0.38 , 8.172 , 5.69
-0.39 , 8.2 , 5.695
-0.386 , 8.259 , 5.717
-0.457 , 8.192 , 5.618
-0.399 , 8.202 , 5.66
-0.407 , 8.16 , 5.659
-0.356 , 8.218 , 5.677
-0.306 , 8.299 , 5.659
-0.252 , 8.257 , 5.619
-0.303 , 8.256 , 5.453
-0.247 , 8.249 , 5.545
-0.208 , 8.372 , 5.551
-0.106 , 8.379 , 5.636
-0.105 , 8.409 , 5.622
-0.123 , 8.352 , 5.514
-0.124 , 8.257 , 5.587
-0.14 , 8.263 , 5.503
-0.178 , 8.346 , 5.625
-0.204 , 8.414 , 5.699
-0.279 , 8.35 , 5.707
-0.091 , 8.346 , 5.698
-0.161 , 8.255 , 5.566
-0.096 , 8.187 , 5.766
-0.088 , 8.224 , 5.703
-0.119 , 8.226 , 5.787
-0.108 , 8.237 , 5.957
-0.1 , 8.309 , 5.948
-0.012 , 8.266 , 6.003
0.024 , 8.315 , 5.854
0.024 , 8.253 , 5.541
0.051 , 8.287 , 5.547
-0.004 , 8.388 , 5.522
-0.079 , 8.33 , 5.596
-0.148 , 8.286 , 5.68
-0.406 , 8.145 , 5.647
-0.367 , 8.19 , 5.82
-0.319 , 8.12 , 5.786
-0.545 , 8.075 , 5.526
-0.32 , 8.049 , 5.815
-0.349 , 8.013 , 5.59
-0.417 , 7.982 , 5.883
-0.012 , 7.763 , 6.561
-0.824 , 8.083 , 5.247
-0.21 , 7.986 , 6.698
-0.515 , 8.366 , 5.6
-0.691 , 8.144 , 6.324
-0.07 , 8.194 , 6.106
-0.545 , 8.247 , 4.75
0.087 , 8.384 , 5.947
-0.112 , 8.833 , 4.66
0.024 , 8.86 , 5.139
0.315 , 8.84 , 5.232
0.029 , 8.593 , 4.709
0.091 , 8.621 , 5.067
-0.041 , 8.697 , 5.528
-0.267 , 8.691 , 5.841
0.027 , 8.68 , 5.968
-0.203 , 8.406 , 5.277
0.062 , 8.375 , 5.134
0.05 , 8.498 , 5.192
0.134 , 8.476 , 5.649
-0.018 , 8.273 , 6.005
-0.105 , 8.024 , 6.286
-0.053 , 7.77 , 6.499
-0.076 , 7.744 , 6.738
-0.035 , 7.887 , 6.822
0.119 , 8.085 , 6.536
0.26 , 8.2 , 6.237
0.31 , 8.249 , 5.588
0.292 , 8.344 , 5.108
0.17 , 8.352 , 5.134
0.139 , 8.57 , 5.288
0.073 , 8.758 , 5.511
-0.034 , 8.757 , 5.552
-0.09 , 8.566 , 5.25
-0.07 , 8.561 , 5.045
-0.083 , 8.638 , 5.078
-0.152 , 8.8 , 4.932
-0.041 , 8.782 , 4.991
-0.088 , 8.631 , 5.115
-0.071 , 8.49 , 5.082
-0.06 , 8.425 , 5.49
-0.168 , 8.309 , 5.662
-0.152 , 8.203 , 5.839
-0.291 , 8.027 , 6.1
-0.354 , 8.05 , 6.139
-0.355 , 8.071 , 6.261
-0.362 , 8.049 , 6.116
-0.368 , 8.02 , 6.023
-0.404 , 8.108 , 5.871
-0.397 , 8.152 , 5.787
-0.325 , 8.156 , 5.742
-0.349 , 8.078 , 5.71
-0.334 , 8.181 , 5.75
-0.285 , 8.275 , 5.799
-0.277 , 8.387 , 5.781
-0.264 , 8.339 , 5.638
-0.197 , 8.347 , 5.471
-0.259 , 8.395 , 5.386
-0.199 , 8.464 , 5.408
-0.148 , 8.534 , 5.549
-0.15 , 8.417 , 5.587
-0.073 , 8.391 , 5.681
-0.059 , 8.423 , 5.598
-0.096 , 8.429 , 5.575
0.018 , 8.407 , 5.534
-0.055 , 8.357 , 5.444
-0.12 , 8.356 , 5.418
-0.115 , 8.305 , 5.484
-0.179 , 8.259 , 5.51
-0.302 , 8.232 , 5.696
-0.367 , 8.192 , 5.839
-0.259 , 8.17 , 5.79
-0.26 , 8.112 , 5.774
-0.287 , 8.067 , 5.77
-0.301 , 8.007 , 5.744
-0.206 , 8.041 , 5.806
-0.243 , 8.071 , 5.867
